Name,V1,V2,E1,E2,EAlphaHat,D1,D2,AddedNodes,EdgesPerAddedNode,AddedEdges,RemovedEdges,Accuracy,NodeCorrectness,Time,Generated,Alignment,Corrects,Mistakes,FP,FN,FBetaStar,NodeCorrectness,Time,Generated,Alignment,Corrects,Mistakes,FP,FN,SameAlignment?,DeltaGenerated,DeltaTime,%generated,%time
ER-12-13-1595193788196,12,14,13,19,15.0,0.19696969696969696,0.2087912087912088,2,2,3,1,0.9545454545454546,0.16666666666666666,6684,28274695,7 6 4 3 5 2 12 1 9 8 13 11 ,63.0,3.0,2.0,1.0,0.8750252372299616,0.16666666666666666,6504,28254675,7 6 4 3 5 2 12 1 9 8 13 11 ,63.0,3.0,2.0,1.0,True,20020,180,0,2
ER-12-13-1595193788196,12,14,13,19,15.0,0.19696969696969696,0.2087912087912088,2,2,4,2,0.9393939393939394,0.08333333333333333,5607,22962476,4 12 10 6 8 2 7 9 1 3 13 14 ,62.0,4.0,2.0,2.0,0.865934065934066,0.08333333333333333,6191,26411592,2 12 10 6 4 11 7 9 1 3 13 14 ,62.0,4.0,1.0,3.0,False,-3449116,-584,-15,-10
ER-12-13-1595193788196,12,14,13,19,15.0,0.19696969696969696,0.2087912087912088,2,2,5,3,0.9696969696969697,0.8333333333333334,4267,17941046,1 2 3 4 5 13 14 8 9 10 11 12 ,64.0,2.0,2.0,0.0,0.9230769230769231,0.25,4896,20693939,1 8 10 7 12 4 14 5 9 3 11 2 ,64.0,2.0,1.0,1.0,False,-2752893,-629,-15,-14
ER-12-14-1595193788197,12,14,14,20,16.0,0.21212121212121213,0.21978021978021978,2,2,3,1,0.9696969696969697,0.08333333333333333,1666,7257067,13 7 14 4 11 8 6 9 1 12 10 5 ,64.0,2.0,2.0,0.0,0.9137466307277629,0.08333333333333333,2066,9076735,13 7 14 4 11 8 6 9 1 12 10 5 ,64.0,2.0,2.0,0.0,True,-1819668,-400,-25,-24
ER-12-14-1595193788197,12,14,14,20,16.0,0.21212121212121213,0.21978021978021978,2,2,4,2,0.9393939393939394,0.08333333333333333,3851,16668281,4 2 11 7 12 5 3 13 8 14 9 1 ,62.0,4.0,2.0,2.0,0.8571428571428571,0.08333333333333333,4935,21255845,4 2 11 7 12 5 3 13 8 14 9 1 ,62.0,4.0,2.0,2.0,True,-4587564,-1084,-27,-28
ER-12-14-1595193788197,12,14,14,20,16.0,0.21212121212121213,0.21978021978021978,2,2,5,3,0.9545454545454546,0.4166666666666667,2497,10962464,1 2 3 8 10 13 6 4 9 12 11 14 ,63.0,3.0,2.0,1.0,0.9006744328632741,0.16666666666666666,2524,11085383,9 7 1 8 11 6 2 14 4 3 10 12 ,63.0,3.0,1.0,2.0,False,-122919,-27,-1,-1
ER-12-15-1595193788198,12,14,15,21,17.0,0.22727272727272727,0.23076923076923078,2,2,3,1,0.9393939393939394,1.0,2241,9781765,1 2 3 4 5 6 7 8 9 10 11 12 ,62.0,4.0,1.0,3.0,0.8818627450980392,1.0,2084,9191831,1 2 3 4 5 6 7 8 9 10 11 12 ,62.0,4.0,1.0,3.0,True,589934,157,6,7
ER-12-15-1595193788198,12,14,15,21,17.0,0.22727272727272727,0.23076923076923078,2,2,4,2,0.9393939393939394,0.25,3132,13790393,1 14 3 6 11 13 7 10 4 2 5 9 ,62.0,4.0,2.0,2.0,0.8666666666666667,0.25,3636,16043161,1 14 3 6 11 13 7 10 4 2 5 9 ,62.0,4.0,2.0,2.0,True,-2252768,-504,-16,-16
ER-12-15-1595193788198,12,14,15,21,17.0,0.22727272727272727,0.23076923076923078,2,2,5,3,0.9242424242424242,0.08333333333333333,5086,22233929,1 5 12 7 10 14 4 6 11 13 9 3 ,61.0,5.0,1.0,4.0,0.8581991651759093,0.08333333333333333,3806,16542526,1 5 12 7 10 14 4 6 11 13 9 3 ,61.0,5.0,1.0,4.0,True,5691403,1280,25,25
ER-12-16-1595193788198,12,14,16,22,18.0,0.24242424242424243,0.24175824175824176,2,2,3,1,0.9393939393939394,1.0,10694,45928197,1 2 3 4 5 6 7 8 9 10 11 12 ,62.0,4.0,1.0,3.0,0.8884803921568627,1.0,13196,56574885,1 2 3 4 5 6 7 8 9 10 11 12 ,62.0,4.0,1.0,3.0,True,-10646688,-2502,-23,-23
